address,b_mianji,chaoxiang,dianti,display_total_price,gongnuan,huxing,huxing_jiegou,jianzhu_jiegou,jianzhu_leixing,louceng,niandai,sold_date,sold_total_price,t_mianji,traffic,unit_price,zhuangxiu
北纬40度二期,94.34㎡          ,南 北   ,有           ,705挂牌价格（万）,集中供暖        ,2室2厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,低楼层(共25层)          ,2009 ,2019.01.06 成交,645万,69.73㎡         ,近地铁,68370元/平,精装     
鸿坤理想城礼域府,26.84㎡          ,南   ,暂无数据           ,30挂牌价格（万）,暂无数据        ,车位        ,暂无数据              ,钢混结构  ,暂无数据       ,地下室          ,未知 ,2019.01.06 成交,30万,暂无数据         ,近地铁,11178元/平,其他     
三庙大院,45.86㎡          ,西   ,暂无数据           ,456挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,暂无数据              ,混合结构  ,板楼       ,底层(共6层)          ,1993 ,2019.01.06 成交,440万,31.22㎡         ,近地铁,95945元/平,精装     
顶秀欣园东苑,106.62㎡          ,南   ,有           ,620挂牌价格（万）,集中供暖        ,3室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,中楼层(共21层)          ,2006 ,2019.01.06 成交,580万,84.21㎡         ,近地铁,54399元/平,其他     
三义庙北,64㎡          ,南 北   ,无           ,460挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共4层)          ,1955 ,2019.01.06 成交,430万,暂无数据         ,近地铁,67188元/平,简装     
新康家园,128.43㎡          ,南 北   ,无           ,660挂牌价格（万）,集中供暖        ,3室2厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共7层)          ,2001 ,2019.01.06 成交,643万,118.16㎡         ,近地铁,50067元/平,精装     
佳和宜园,92.28㎡          ,西南 北   ,有           ,308挂牌价格（万）,集中供暖        ,3室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,高楼层(共11层)          ,2008 ,2019.01.06 成交,298.7万,79.78㎡         ,暂无数据,32366元/平,精装     
滨河小区,59.98㎡          ,南 北   ,无           ,223挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,高楼层(共6层)          ,1994 ,2019.01.06 成交,220万,暂无数据         ,,36679元/平,简装     
洋桥北里,57.3㎡          ,南 北   ,无           ,332挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1988 ,2019.01.06 成交,328万,暂无数据         ,近地铁,57243元/平,其他     
大成郡,89.16㎡          ,南   ,有           ,755挂牌价格（万）,自供暖        ,1室2厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,底层(共8层)          ,2010 ,2019.01.06 成交,690万,75.46㎡         ,暂无数据,77389元/平,其他     
新中西街,40.51㎡          ,西南   ,无           ,399挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,暂无数据              ,混合结构  ,板楼       ,底层(共7层)          ,1990 ,2019.01.06 成交,382万,暂无数据         ,近地铁,94298元/平,精装     
幸福二村,127.76㎡          ,东 西   ,无           ,930挂牌价格（万）,集中供暖        ,3室2厅1厨2卫        ,平层              ,混合结构  ,板楼       ,顶层(共6层)          ,1999 ,2019.01.06 成交,860万,112.57㎡         ,近地铁,67314元/平,精装     
小泥湾,69㎡          ,南 北   ,无           ,588挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共5层)          ,1985 ,2019.01.06 成交,565万,暂无数据         ,近地铁,81885元/平,简装     
梨花园,75.11㎡          ,南 北   ,无           ,310挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,高楼层(共7层)          ,1997 ,2019.01.06 成交,304.6万,暂无数据         ,近地铁,40554元/平,精装     
政馨园一区,76.62㎡          ,西   ,有           ,398挂牌价格（万）,自供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,低楼层(共15层)          ,2003 ,2019.01.06 成交,387万,62.88㎡         ,近地铁,50510元/平,简装     
